data,produto,categoria,loja,cidade,preco,quantidade,desconto,cliente
2023-11-24,Feijão,Alimentos,Loja A,Curitiba,14.51,5,0.22,Rafaela Lopes
2023-12-13,Queijo,Laticínios,Loja A,Belo Horizonte,4.49,3,0.07,Sr. Calebe Pinto
2023-09-16,Macarrão,Alimentos,Loja A,Rio de Janeiro,36.65,18,0.13,Isaac Santos
2023-08-18,Macarrão,Alimentos,Loja C,São Paulo,38.66,6,0.21,Maria Sophia Duarte
2023-06-24,Café,Bebidas,Loja B,Rio de Janeiro,47.99,11,0.03,Sr. Isaac Melo
2023-07-14,Feijão,Alimentos,Loja C,Curitiba,31.38,2,0.22,Catarina Campos
2023-10-02,Feijão,Alimentos,Loja D,São Paulo,28.95,20,0.27,Vitor Porto
2023-07-05,Macarrão,Alimentos,Loja B,São Paulo,5.15,8,0.23,Davi Alves
2023-02-10,Sabonete,Higiene,Loja A,Belo Horizonte,16.06,12,0.05,Marina Campos
2023-07-01,Sabonete,Higiene,Loja C,São Paulo,31.63,6,0.16,Luna Gonçalves
2023-05-06,Detergente,Limpeza,Loja D,Belo Horizonte,15.69,18,0.07,Luna Porto
2023-06-16,Arroz,Alimentos,Loja B,São Paulo,40.84,13,0.08,Luiz Henrique Sales
2023-04-19,Macarrão,Alimentos,Loja C,Rio de Janeiro,33.81,13,0.27,Gabriel Martins
2023-11-26,Leite,Laticínios,Loja B,Curitiba,9.56,18,0.16,Srta. Julia da Cunha
2023-10-27,Papel Higiênico,Higiene,Loja D,Curitiba,13.31,5,0.15,Kamilly Araújo
2023-02-16,Arroz,Alimentos,Loja A,Rio de Janeiro,32.49,14,0.18,Milena Alves
2023-07-17,Papel Higiênico,Higiene,Loja D,Curitiba,48.64,1,0.2,Letícia da Costa
2023-02-28,Queijo,Laticínios,Loja C,Curitiba,8.24,14,0.05,João Felipe Barros
2023-01-02,Café,Bebidas,Loja B,São Paulo,43.91,10,0.25,Vitor Hugo da Mota
